18:23; temperature; -1
18:23; wind_speed; 17
18:23; pressure; 742
18:23; temperature; -6
18:23; wind_speed; 21
18:23; pressure; 743
18:23; temperature; -4
18:23; wind_speed; 0
18:23; pressure; 723
18:26; temperature; -1
18:26; wind_speed; 19
18:26; pressure; 745
18:30; temperature; -18
18:30; wind_speed; 9
18:30; pressure; 723
18:30; temperature; -1
18:30; wind_speed; 16
18:30; pressure; 733
18:55; temperature; -2
18:55; wind_speed; 15
18:55; pressure; 722
18:55; temperature; -17
18:55; wind_speed; 26
18:55; pressure; 742
